repo,bus_factor,total_contributors,total_activity
keras-team/keras,1,250,4080
pallets/flask,1,129,818
tiangolo/fastapi,1,503,4442
django/django,2,873,7044
numpy/numpy,2,538,8648
pandas-dev/pandas,2,1057,17839
docker/compose,2,114,2232
tailwindlabs/tailwindcss,2,131,6027
twbs/bootstrap,2,287,3642
sveltejs/svelte,2,352,13324
flutter/flutter,3,1038,24857
ansible/ansible,3,473,8150
hashicorp/terraform,4,322,9859
microsoft/DeepSpeed,4,316,6830
huggingface/transformers,5,2034,31848
angular/angular,5,782,18512
scikit-learn/scikit-learn,5,767,8771
facebook/react,5,640,13376
apache/spark,5,728,27720
mui/material-ui,5,633,14880
vercel/next.js,8,1944,49717
ray-project/ray,8,592,37053
facebook/react-native,9,743,11072
microsoft/vscode,9,1033,62528
tensorflow/tensorflow,13,581,3490
elastic/elasticsearch,15,588,57855
golang/go,15,538,1854
vuejs/vue,22,190,430
pytorch/pytorch,29,2266,259961
kubernetes/kubernetes,56,1404,11074
